category,condition,page_url,image_url,index,status
Kidney & Urinary,Kidney stones,https://radiopaedia.org/articles/renal-calculi,https://prod-images-static.radiopaedia.org/images/5653000/df6394edb827bdabf0d4df05a2b128_gallery.JPG,1,ok
Kidney & Urinary,Kidney stones,https://radiopaedia.org/articles/renal-calculi,https://prod-images-static.radiopaedia.org/images/5653000/df6394edb827bdabf0d4df05a2b128_big_gallery.JPG,2,ok
Kidney & Urinary,Kidney stones,https://radiopaedia.org/articles/renal-calculi,https://prod-images-static.radiopaedia.org/images/24804/1af425ddaf16fa001b5d129ec2ecbb_big_gallery.jpeg,3,ok
Kidney & Urinary,Hydronephrosis,https://radiopaedia.org/articles/hydronephrosis,https://prod-images-static.radiopaedia.org/images/7380081/36a09d2210c910181cd41d6a7bcf6a_gallery.JPG,1,ok
Kidney & Urinary,Hydronephrosis,https://radiopaedia.org/articles/hydronephrosis,https://prod-images-static.radiopaedia.org/images/7380081/36a09d2210c910181cd41d6a7bcf6a_big_gallery.JPG,2,ok
Kidney & Urinary,Hydronephrosis,https://radiopaedia.org/articles/hydronephrosis,https://prod-images-static.radiopaedia.org/images/24875/adf9769a7bd13f6b9b89dc56dd86fb_big_gallery.jpeg,3,ok
Kidney & Urinary,Renal cell carcinoma,,,,not_found
Kidney & Urinary,Nephrolithiasis,https://radiopaedia.org/articles/nephrolithiasis,https://prod-images-static.radiopaedia.org/images/5653000/df6394edb827bdabf0d4df05a2b128_gallery.JPG,1,ok
Kidney & Urinary,Nephrolithiasis,https://radiopaedia.org/articles/nephrolithiasis,https://prod-images-static.radiopaedia.org/images/5653000/df6394edb827bdabf0d4df05a2b128_big_gallery.JPG,2,ok
Kidney & Urinary,Nephrolithiasis,https://radiopaedia.org/articles/nephrolithiasis,https://prod-images-static.radiopaedia.org/images/24804/1af425ddaf16fa001b5d129ec2ecbb_big_gallery.jpeg,3,ok
Kidney & Urinary,Bladder stone,https://radiopaedia.org/articles/vesical-calculus,https://prod-images-static.radiopaedia.org/images/28223996/b0c666c73cfa3e5114ddc6c1aa2142_gallery.jpeg,1,ok
Kidney & Urinary,Bladder stone,https://radiopaedia.org/articles/vesical-calculus,https://prod-images-static.radiopaedia.org/images/28223996/b0c666c73cfa3e5114ddc6c1aa2142_big_gallery.jpeg,2,ok
Kidney & Urinary,Bladder stone,https://radiopaedia.org/articles/vesical-calculus,https://prod-images-static.radiopaedia.org/images/55534935/Bladder_stones_big_gallery.jpeg,3,ok
Kidney & Urinary,Renal cyst,https://radiopaedia.org/articles/renal-cyst,https://prod-images-static.radiopaedia.org/images/5828121/115649dde8f218779c9223056e1779_gallery.jpg,1,ok
Kidney & Urinary,Renal cyst,https://radiopaedia.org/articles/renal-cyst,https://prod-images-static.radiopaedia.org/images/5828121/115649dde8f218779c9223056e1779_big_gallery.jpg,2,ok
Kidney & Urinary,Renal cyst,https://radiopaedia.org/articles/renal-cyst,https://prod-images-static.radiopaedia.org/images/5816521/b3f4ff14786b8d73dea3df62d395ca_big_gallery.jpg,3,ok
Kidney & Urinary,Polycystic kidney disease,https://radiopaedia.org/articles/autosomal-dominant-polycystic-kidney-disease,https://prod-images-static.radiopaedia.org/images/25247/6bd07d144599a14ccc1a6325c47808_gallery.jpeg,1,ok
Kidney & Urinary,Polycystic kidney disease,https://radiopaedia.org/articles/autosomal-dominant-polycystic-kidney-disease,https://prod-images-static.radiopaedia.org/images/25247/6bd07d144599a14ccc1a6325c47808_big_gallery.jpeg,2,ok
Kidney & Urinary,Polycystic kidney disease,https://radiopaedia.org/articles/autosomal-dominant-polycystic-kidney-disease,https://prod-images-static.radiopaedia.org/images/25248/d786b88a87abee8b2664bacd5807cd_big_gallery.jpeg,3,ok
Respiratory/Lung,Pleural effusion,https://radiopaedia.org/articles/pleural-effusion,https://prod-images-static.radiopaedia.org/images/30358833/5ea2a411525d9a6d0d69106b3bfbc4_gallery.jpeg,1,ok
Respiratory/Lung,Pleural effusion,https://radiopaedia.org/articles/pleural-effusion,https://prod-images-static.radiopaedia.org/images/30358833/5ea2a411525d9a6d0d69106b3bfbc4_big_gallery.jpeg,2,ok
Respiratory/Lung,Pleural effusion,https://radiopaedia.org/articles/pleural-effusion,https://prod-images-static.radiopaedia.org/images/53183623/f69b9ba15aa08e02024c4dc168ab80aa0dfc09c8bde1662cd7ce62d13c7b016d_big_gallery.jpeg,3,ok
Respiratory/Lung,Pneumonia,https://radiopaedia.org/articles/pneumonia,https://prod-images-static.radiopaedia.org/images/1371188/0a1f5edc85aa58d5780928cb39b08659c1fc4d6d7c7dce2f8db1d63c7c737234_gallery.jpeg,1,ok
Respiratory/Lung,Pneumonia,https://radiopaedia.org/articles/pneumonia,https://prod-images-static.radiopaedia.org/images/1371188/0a1f5edc85aa58d5780928cb39b08659c1fc4d6d7c7dce2f8db1d63c7c737234_big_gallery.jpeg,2,ok
Respiratory/Lung,Pneumonia,https://radiopaedia.org/articles/pneumonia,https://prod-images-static.radiopaedia.org/images/8151527/95a07767cebe3da2923819c650a539_big_gallery.jpg,3,ok
Respiratory/Lung,Pulmonary edema,https://radiopaedia.org/articles/pulmonary-oedema,https://prod-images-static.radiopaedia.org/images/1564322/e0fdf80eb6c7565a88b3650cfde94d_gallery.jpg,1,ok
Respiratory/Lung,Pulmonary edema,https://radiopaedia.org/articles/pulmonary-oedema,https://prod-images-static.radiopaedia.org/images/1564322/e0fdf80eb6c7565a88b3650cfde94d_big_gallery.jpg,2,ok
Respiratory/Lung,Pulmonary edema,https://radiopaedia.org/articles/pulmonary-oedema,https://prod-images-static.radiopaedia.org/images/1429771/ef3a23eddf31faee980a4011d9d5ee_big_gallery.jpg,3,ok
Respiratory/Lung,Atelectasis,https://radiopaedia.org/articles/atelectasis,https://prod-images-static.radiopaedia.org/images/2113848/dd704328facac0936956cf5788fa5f_gallery.jpg,1,ok
Respiratory/Lung,Atelectasis,https://radiopaedia.org/articles/atelectasis,https://prod-images-static.radiopaedia.org/images/2113848/dd704328facac0936956cf5788fa5f_big_gallery.jpg,2,ok
Respiratory/Lung,Atelectasis,https://radiopaedia.org/articles/atelectasis,https://prod-images-static.radiopaedia.org/images/583698/5383b773b0b3ca2ecdf35ee1f26e5a_big_gallery.jpg,3,ok
Respiratory/Lung,Emphysema,,,,not_found
Respiratory/Lung,Pulmonary fibrosis,,,,not_found
Respiratory/Lung,Pulmonary embolism,https://radiopaedia.org/articles/pulmonary-embolism,https://prod-images-static.radiopaedia.org/images/59969841/fe1abfa5e8086eb7e0d6aa44c3d00ede0906e0ce2b0d022eb1530111701e1fc3_gallery.jpeg,1,ok
Respiratory/Lung,Pulmonary embolism,https://radiopaedia.org/articles/pulmonary-embolism,https://prod-images-static.radiopaedia.org/images/59969841/fe1abfa5e8086eb7e0d6aa44c3d00ede0906e0ce2b0d022eb1530111701e1fc3_big_gallery.jpeg,2,ok
Respiratory/Lung,Pulmonary embolism,https://radiopaedia.org/articles/pulmonary-embolism,https://prod-images-static.radiopaedia.org/images/59632221/419fb0cc39742cfe12fdfc53c07b5f9a2c2011d379ec576401f59942ed7f7d34_big_gallery.jpeg,3,ok
Respiratory/Lung,Pneumothorax,https://radiopaedia.org/articles/pneumothorax,https://prod-images-static.radiopaedia.org/images/4986070/d51d434314fe86c62d018404ad9bb7_gallery.jpeg,1,ok
Respiratory/Lung,Pneumothorax,https://radiopaedia.org/articles/pneumothorax,https://prod-images-static.radiopaedia.org/images/4986070/d51d434314fe86c62d018404ad9bb7_big_gallery.jpeg,2,ok
Respiratory/Lung,Pneumothorax,https://radiopaedia.org/articles/pneumothorax,https://prod-images-static.radiopaedia.org/images/25371812/245d5e88c4b42c42b62ba9b703c4cc_big_gallery.jpeg,3,ok
Respiratory/Lung,ARDS,,,,not_found
Cardiovascular,Enlarged heart,https://radiopaedia.org/articles/cardiomegaly,https://prod-images-static.radiopaedia.org/images/566180/d527ff6fc1482161c9225345c4ab42_gallery.jpg,1,ok
Cardiovascular,Enlarged heart,https://radiopaedia.org/articles/cardiomegaly,https://prod-images-static.radiopaedia.org/images/566180/d527ff6fc1482161c9225345c4ab42_big_gallery.jpg,2,ok
Cardiovascular,Enlarged heart,https://radiopaedia.org/articles/cardiomegaly,https://prod-images-static.radiopaedia.org/images/604505/8d2027dc816cf6bea4ced88ff487cbef1636da2890b7c558846da148431559c9_big_gallery.jpeg,3,ok
